approval_number,name,address,city,postcode,region,country,group,section,activity,slaughter,species,remarks,date_of_approval,publication_date
098,Alviksgården Lantbruks AB,Alviksgården 190,Luleå,97592,Region Norrland,Sweden,EU-EFTA,RM,SH CP,Y,bovine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
5101,Andersson & Tillman AB,Danmarksgatan 24,Uppsala,75323,"Uppsala County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
2108,Arnemarks Köttservice AB,Verkstadsgatan 11,Piteå,94139,"Piteå kommun,Norrbotten County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,porcine ovine bovine,CP - Cutting Plant,,
5496,Axel´s Chark AB,Björtveten 18,Bäckefors,66894,"Bengtsfors kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
6014,BD Ekokött AB,Opaltorget 2,Västra Frölunda,42164,"Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
015,Bassholma slakteri AB,Ekerödsvägen 110,Munka-Ljungby,26695,"Skåne County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
328,Basunda Gård Slakteri AB,Basunda Gård,Rimforsa,59046,"Kinda kommun,Östergötland County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
744,Benny Selberg,Gullmark 60,Bygdeå,91598,"Robertsfors kommun,Västerbotten County,Region Norrland",Sweden,EU-EFTA,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
276,Bergslagsdelikatesser i Lindesberg AB,Löpargatan 6,Lindesberg,71134,"Lindesbergs kommun,Örebro County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine equine,CP - Cutting Plant,,
5199,Bernd's Chark AB,Södra Huveröd 202,Ucklum,44494,"Stenungsunds kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
018,Bjursunds Slakteri AB,Mossebogatan 9,Valdermarsvik,61595,"Valdemarsviks kommun,Östergötland County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
980,Björk & Magnussons i Helsingborg AB,Torbornavägen 32,Helsingborg,25368,"Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
5081,Bodens Kött & Vilt AB,Edeforsvägen 94,Harads,96024,"Bodens kommun,Norrbotten County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6066,Bondens Skafferi AB,Koriandervägen 5,Åhus,29641,"Kristianstads kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,porcine bovine,CP - Cutting Plant,,
6398,Bondens Skafferi Väst AB,Mejerigatan 1,Alingsås,44139,"Alingsås kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine ovine,CP - Cutting Plant,,
6543,Bondens Skafferi Öst AB,Rydjavägen 2,Mantorp,59557,"Mjölby kommun,Östergötland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
348,Bonnarps Hjortgård & Veterinär AB,Bonnarp 664,Ljungbyhed,26453,"Klippans kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,ovine,CP - Cutting Plant,,
144,Bräkne-Hoby Chark AB,Trekantsvägen 1,Bräkne-Hoby,37261,"Ronneby kommun,Blekinge County,Region Götaland",Sweden,EU-EFTA,RM,SH,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse,,
113,Bröderna Jakobssons Slakteri AB,Rossö 2544,Nyland,87052,"Kramfors kommun,Västernorrland County,Region Norrland",Sweden,EU-EFTA,RM,CP SH,Y,bovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
729,Burträsk Slakteri AB,Nedre Åbyn 94,Burträsk,93791,"Skellefteå kommun,Västerbotten County,Region Norrland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
746,Bäsinge Slakteri AB,Bäsinge 103,Krylbo,77596,"Avesta kommun,Dalecarlia,Region Svealand",Sweden,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
5131,Börjes Chark AB,Grönkällegatan 4,Aneby,57833,"Aneby kommun,Jönköping County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
5373,Capital Indian Restaurang AB,Björksundsslingan 21,Bandhagen,12431,"Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,ovine,CP - Cutting Plant,,
5428,Carlströms Kött & Chark AB,Slakterigatan 7 A,Västerås,72132,"Västerås kommun,Västmanland County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
5323,Carne Mundial AB,Muskotgatan 5,Angered,42441,"Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
5116,Carnex Kött & Chark AB,Stillmansgatan 7,Malmö,21225,"Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
384,Catarinas Sprätthönseri AB,Norrby 74,Stora Skedvi,78392,"Dalecarlia,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
5062,Chark Food i Stockholm AB,Svarvarvägen 6A,Skogås,14250,"Huddinge kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine,CP - Cutting Plant,,
652,Charkett AB,Silvervägen 4,Karlskrona,37150,"Blekinge County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
5557,Chefs Fresh AB,Knivgatan 11,Malmö,21228,"Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6850,ChopChop Foods AB,Järngatan 28,Rosersberg,19572,"Sigtuna kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine,CP - Cutting Plant,,
5265,Christer Hammarström,Göringsvägen 13,Furudal,79070,"Rättviks kommun,Dalecarlia,Region Svealand",Sweden,EU-EFTA,RM,CP SH,Y,ovine caprine equine,CP - Cutting Plant | SH - Slaughterhouse,,
719,Christian Larsson,Ödeby gård 1,Upphärad,46199,"Trollhättans kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6644,ConLans AB,Metodvägen 1,Mölnlycke,43533,"Härryda kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine,CP - Cutting Plant,,
5136,Dackebygdens kött i Virserum AB,Storgatan 18,Virserum,57080,"Hultsfreds kommun,Kalmar County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
783,Daniel Bladh,Övertorp Prästakvarna,Skövde,54191,"Skövde kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,porcine,SH - Slaughterhouse | CP - Cutting Plant,,
560,Danish Crown Jönköping AB,Barnarpsgatan 102,Jönköping,55652,"Jönköpings kommun,Jönköping County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,porcine bovine,CP - Cutting Plant,,
060,David Karlgrens Slakteri AB,Odlingsvägen 1,Gällivare,98239,"Gällivare kommun,Norrbotten County,Region Norrland",Sweden,EU-EFTA,RM,SH CP,Y,bovine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
5643,Davidstorp Angus AB,Stora Tolångavägen 99-20,Sjöbo,27592,"Härryda kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
335,De Vilda AB,Stensta 5,Järna,15391,"Södertälje kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
760,Dellen Kött och Vilt AB,Norrberg 121,Bjuråker,82479,"Gävleborg County,Region Norrland",Sweden,EU-EFTA,RM,CP SH,Y,bovine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
065,Delsbo Slakteri AB,Fredrikfors 25,Delsbo,82472,"Gävleborg County,Region Norrland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
5159,Dickssons Kött och Handel AB,Ängadal 21 B,Vinslöv,28833,"Hässleholms kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
19,Djurtjänst i Bollnäs AB,Norrbo Hammarvägen 4906,Bollnäs,82195,"Bollnäs kommun,Gävleborg County,Region Norrland",Sweden,EU-EFTA,RM,CP SH,Y,bovine caprine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
5386,Dora Market AB,Herkulesgatan 1,Gothenburg,41703,"Göteborgs Stad,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
54,Duveled AB,Varbergsvägen 833,Fjärås,43974,"Kungsbacka kommun,Halland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine,CP - Cutting Plant,,
5219,Eatwell Sweden AB,Metodvägen 3-5,Mölnlycke,43533,"Härryda kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
5435,Ekastiga Djur & Natur HB,Ekestiga 333,Höör,24393,"Höörs kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine,CP - Cutting Plant,,
645,Elisedals Chark AB,"Elisedals Gård, Betselgatan 9",Malmö,21377,"Malmö kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
120,Ello i Lammhult Slakt AB,Värnamovägen 43,Lammhult,36344,"Kronoberg County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine,SH - Slaughterhouse | CP - Cutting Plant,,
6270,Enco Meat AB,Maskingatan 3,Jönköping,55474,"Jönköpings kommun,Jönköping County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,porcine,CP - Cutting Plant,,
5015,Eriksons Chark i Nossebro AB,Storgatan 11,Nossebro,46530,"Essunga kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
793,Eva Karlsson,Kanonvägen 215,Våmhus,79296,"Dalecarlia,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine,CP - Cutting Plant,,
003,Faringe Kött & Slakt AB,Karlsberg 155,Huddungeby,74492,"Heby kommun,Uppsala County,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
791,Filkesboda Gård AB,Mjönäsvägen 1520,Arkelstorp,29156,"Kristianstads kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6657,Fresh Meat and Fish AB,Styckmästargatan 4,Johanneshov,12162,"Stockholms kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6834,Fritzie Lagon Wolak,Othem Othemars 304,Slite,62446,"Gotland,Gotland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,ovine bovine,CP - Cutting Plant,,
796,Fävikens Egendom AB,Fäviken 216,Järpen,83794,"Åre kommun,Jämtland County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6558,Gerda Adele Gillberg,Kyrkvägen 15,Fagerhult,57994,"Kalmar County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
600,Gourmet Food Fredrik Svanberg AB,Lagervägen 15,Jordbro,13650,"Haninge kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
668,Grantelius Kött AB,Edsvallabacken 14,Farsta,12343,"Södertälje kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine caprine ovine equine,CP - Cutting Plant,,
395,Gräskärr Förvaltning AB,Gräskärr 8,Tibro,54394,"Tibro kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
458,Gröna gårdar AB,Kurödsvägen 23,Uddevalla,45155,"Uddevalla kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine ovine,CP - Cutting Plant,,
264,Gudruns AB,Rörvägen 12,Jordbro,13650,"Haninge kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
5276,Gullringsbo Chark AB,Julaftonsgatan 1,Göteborg,41544,"Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
237,Gunnar Dafgård AB,Källby,Källby,53182,"Götene kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,porcine,CP - Cutting Plant,,
6572,Gårdssällskapet AB,Kyrkvägen 19,Eskilstuna,63506,"Eskilstuna kommun,Södermanland County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
713,Görviks lantbruk HB,Görvik 825,Hammerdal,83348,"Strömsunds kommun,Jämtland County,Region Norrland",Sweden,EU-EFTA,RM,SH CP,Y,bovine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
587,HOLM`s kött & chark AB,Drevgatan 9,Landskrona,26151,"Landskrona kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
730,Hans Arvidsson,Yttertavle 103,Umeå,90596,"Umeå kommun,Västerbotten County,Region Norrland",Sweden,EU-EFTA,RM,SH CP,Y,ovine,SH - Slaughterhouse | CP - Cutting Plant,,
378,Hans-Günther Schmitz Samuelsson,Lilla Spännefalla,Tibro,54393,"Tibro kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP SH,Y,bovine ovine porcine caprine,CP - Cutting Plant | SH - Slaughterhouse,,
795,Hans-Olof Johansson,Brohage 1,Öxabäck,51195,"Marks kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
108,Hede Kött AB,Särvsjövägen 20,Hede,84631,"Härjedalens kommun,Jämtland County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
757,Helena Vestin,Vännavägen 36,Timrå,86191,"Timrå kommun,Västernorrland County,Region Norrland",Sweden,EU-EFTA,RM,CP SH,Y,bovine ovine porcine equine,CP - Cutting Plant | SH - Slaughterhouse,,
5195,Helmut Walch Charkuteri AB,A Odhners gata 17,Västra Frölunda,42130,"Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6649,Hembygdens Kött & Chark AB,Köpmangatan 4,Burträsk,93731,"Skellefteå kommun,Västerbotten County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine caprine ovine porcine,CP - Cutting Plant,,
507,Hilton Foods Sverige AB,Saltängsvägen 53,Västerås,72132,"Västerås kommun,Västmanland County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
052,Hygns Vilt AB,"Visnums-Kil, Hygns Gård 1",Kristinehamn,68193,"Kristinehamns kommun,Värmland County,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,bovine ovine porcine caprine,SH - Slaughterhouse | CP - Cutting Plant,,
6084,Hälsingborgs Kött & Chark AB,Torbornavägen 34,Helsingborg,25368,"Helsingborgs kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
387,Håkan Jonsson,Brantestad 741 Ryggåsen,Vimmerby,59895,"Vimmerby kommun,Kalmar County,Region Götaland",Sweden,EU-EFTA,RM,SH,Y,bovine ovine porcine,SH - Slaughterhouse,,
5342,Håkan Jonsson,Brantestad 136,Vimmerby,59895,"Vimmerby kommun,Kalmar County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
723,Håkan Västerslät,Kläckebergavägen 145,Kalmar,39590,"Kalmar County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
43,Inga-Lill Inkeri Nordin,Djupnäset Gåltjärn 250,Kovland,85592,"Sundsvall Municipality,Västernorrland County,Region Norrland",Sweden,EU-EFTA,RM,CP SH,Y,caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
5616,JK Meat Trading AB,Vargmötesvägen 18 B,Vallentuna,18630,"Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
5339,JR Fenix Food Trading AB,Uppköparvägen 4,Årsta,12044,"Stockholms kommun,Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
6662,Jan Åbjörnsson,Skärhus 8091,Hörby,24296,"Hörby kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
812,Jillie Ren & Vilt AB,Industrivägen 21,Ljusnedal,84096,"Härjedalens kommun,Jämtland County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
352,Joacim Granhof,Törnerydsvägen 302,Trensum,37496,"Karlshamns kommun,Blekinge County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
767,Johan Edberg,Sproge Kruse 430,Klintehamn,62344,"Gotland,Gotland County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,porcine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
5059,Johan i Hallen & Bergfalk AB,Varuvägen 9,Älvsjö,12530,"Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
535,Johan i Hallen & Bergfalk AB,Brodalsvägen 13 A,Partille,43338,"Partille kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
5153,Jokkmokks Korv AB,"Industrihus A, Hantverkargatan 71",Jokkmokk,96233,"Norrbotten County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
110,Jämtlandsgården Livsmedel AB,Kvarngatan 2,Hammerdal,83341,"Strömsunds kommun,Jämtland County,Region Norrland",Sweden,EU-EFTA,RM,SH CP,Y,bovine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
797,Jörgen Olsson,Vistagårdsvägen 32,Kristianstad,29191,"Kristianstads kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,porcine,SH - Slaughterhouse | CP - Cutting Plant,,
041,KLS Ugglarps AB,Metallgatan 4,Hörby,24234,"Hörby kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
121,KLS Ugglarps AB,Asbjärsvägen 38-0,Trelleborg,23196,"Trelleborgs kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
048,KLS Ugglarps AB,Senåsa,Dalsjöfors,51690,"Borås kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
051,KLS Ugglarps AB,Södra Vägen 60,Kalmar,39245,"Kalmar kommun,Kalmar County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
382,Kalvenäs Kött AB,Sjönäsgatan 25 A,Berga,57990,"Högsby kommun,Kalmar County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine ovine porcine equine caprine,SH - Slaughterhouse | CP - Cutting Plant,,
5253,Karelius & Co AB,Skålmo 20,Lima,78064,"Malung-Sälens kommun,Dalecarlia,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine porcine,CP - Cutting Plant,,
349,Kils Slakteri AB,Industrigatan 1,Kil,66533,"Kils kommun,Värmland County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
5165,Kungsholmens Kött AB,Fiskhallsvägen 18,Årsta,12044,"Härnösands kommun,Västernorrland County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6164,Kustcharken AB,Lycke 4,Kungshamn,45691,"Sotenäs kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6145,Kött på riktigt i Sverige AB,Gruvgatan 33,Västra Frölunda,42130,"Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,porcine ovine bovine,CP - Cutting Plant,,
5174,Köttgross i Linköping AB,Finnögatan 17,Linköping,58278,"Linköpings kommun,Östergötland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine,CP - Cutting Plant,,
780,Lars Danielsson,Styrstad Sörby 2,Norrköping,60592,"Norrköpings kommun,Östergötland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,ovine,CP - Cutting Plant,,
735,Lars Einar Johansson,"Långeruds Hjortgård, Långerud 13",Kristinehamn,68192,"Kristinehamns kommun,Värmland County,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
135,Lars Ipsen,Appeltorp 519,Tomelilla,27393,"Tomelilla kommun,Skåne County,Region Götaland",Sweden,EU-EFTA,RM,CP SH,Y,caprine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
6600,Lekeberga Gård AB,Lekeberga Gård,Vintrosa,71993,"Örebro kommun,Örebro County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
6365,Lillegårdens Kött och Chark AB,Värnamovägen 4,Varberg,43232,"Varbergs kommun,Halland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine ovine porcine,CP - Cutting Plant,,
001,Lindells Gårdsslakteri AB,"Ottravad, Storegården",Tidaholm,52293,"Tidaholms kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
731,Ljungskile Kött AB,Resteröds Backa 120,Strandskogen,45994,"Uddevalla kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,SH CP,Y,bovine caprine ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
338,"Lund Magnussen, Elsa / Lindås Lamm",Lindås 305,Karlstad,65594,"Karlstads kommun,Värmland County,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,caprine ovine,SH - Slaughterhouse | CP - Cutting Plant,,
6340,"Lundgren, Bertil / Lundgrens Lantbruk",Nässom 124,Bjärtrå District,87296,"Kramfors kommun,Västernorrland County,Region Norrland",Sweden,EU-EFTA,RM,CP,N,bovine ovine,CP - Cutting Plant,,
6194,Läckö Kött & Entreprenad AB,Sunnersberg Backa 3,Lidköping,53198,"Lidköpings kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine,CP - Cutting Plant,,
366,Lövsta Kött AB,Funbo-Lövsta 129,UPPSALA,74177,"Uppsala County,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,bovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
6869,M&D produktion AB,Krossgatan 40,Vällingby,16250,"Stockholm County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,bovine,CP - Cutting Plant,,
543,MHK Foods AB,Göteborgsvägen 3,Surte,44557,"Ale kommun,Västra Götaland County,Region Götaland",Sweden,EU-EFTA,RM,CP,N,bovine caprine ovine,CP - Cutting Plant,,
210,"MOAB, Michael Oldin AB",Marsvägen 5,Kumla,69234,"Kumla kommun,Örebro County,Region Svealand",Sweden,EU-EFTA,RM,CP,N,porcine,CP - Cutting Plant,,
149,Magnus Johansson,Rinkeby Gård,Jönåker,61196,"Nyköpings kommun,Södermanland County,Region Svealand",Sweden,EU-EFTA,RM,SH CP,Y,bovine ovine caprine porcine equine,SH - Slaughterhouse | CP - Cutting Plant,,
