approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
HU1459EK,Kurucz Agro Kft.,099/18 hrsz.,Sárrétudvari,4171,"Hajdú-Bihar,Northern Great Plain,Great Plain and North",Hungary,RM,SH,Y,porcine,SH - Slaughterhouse,,
HU 1360 EK,MCS Vágóhíd Zrt,Pick Márk út 1,Mohács,7700,"Baranya,Southern Transdanubia,Transdanubia",Hungary,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
HU 1333 EK,MR MEAT Kft,hrsz:015/5.,Sérsekszőlős,8660,"Somogy,Southern Transdanubia,Transdanubia",Hungary,RM,SH,Y,porcine,SH - Slaughterhouse,,
HU 533 EK,Mada-Hús kft.,Hízlada út 2.,Nyírmada,4564,"Szabolcs-Szatmár-Bereg,Northern Great Plain,Great Plain and North",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU-35-EK,Mikofami Kft.,087/4 hrsz.,Zalaszentiván,8921,"Zala,Western Transdanubia,Transdanubia",Hungary,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
HU1206EK,Mozgó-Hús Kereskedelmi és Szolgáltató Kft,Szent Flórián utca 13.,Görcsönydoboka,7728,"Baranya,Southern Transdanubia,Transdanubia",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU-1489-EK,Métnek-Agrár Kft.,hrsz. 088/3,Szentgyörgyvölgy,8975,"Zala,Western Transdanubia,Transdanubia",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU1620,NAGYHEGYES HÚS Kft.,Mező utca 0345/111 hrsz,Hajdúszoboszló,4200,"Hajdú-Bihar,Northern Great Plain,Great Plain and North",Hungary,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
HU452EK,Nagykun-Hús Kft.,Kisér utca 1.,Kunhegyes,5340,"Jász-Nagykun-Szolnok,Northern Great Plain,Great Plain and North",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
1152186,Orosz és Társa Bt.,Vasút utca 54.,Dömsöd,2344,"Pest megye,Central Hungary,Central Hungary",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU 991 EK,PIMI-2000 KFT.,Környei út 24/a,Tata,2890,"Komárom-Esztergom,Central Transdanubia,Transdanubia",Hungary,RM,CP,N,,CP - Cutting Plant,,
HU1207,Pala-Ép 95 Kft.,Móricz major Hrsz. 010/20/A.,Csákvár,8081,"Fejér,Central Transdanubia,Transdanubia",Hungary,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
HU 1375 EK,Palcsó Zoltán Kft,2766 Tápiószele Vörösmarty út. 77.,Tápiószele,2766,"Pest megye,Central Hungary,Central Hungary",Hungary,RM,CP,N,bovine porcine,CP - Cutting Plant,,
HU 1092,Pemika Trans Kft.,Kossuth major hrsz. 052/31.,Mezőtárkány,3375,"Heves,Northern Hungary,Great Plain and North",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU 1259 EK,Pesel-Hús Kft.,Lókert tanya 3.,Hajdúdorog,4087,"Hajdú-Bihar,Northern Great Plain,Great Plain and North",Hungary,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
HU-305,Porció-ÉK Kft.,Homokrész,Albertirsa,2730,"Pest megye,Central Hungary,Central Hungary",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU-359,Pákozdi Benő,Jászberényi út 408.,Cegléd,2700,"Pest megye,Central Hungary,Central Hungary",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU-6,Pápai Hús kft.,Kisfaludy u.2,Pápa,8500,"Veszprém,Central Transdanubia,Transdanubia",Hungary,RM,SH,Y,porcine,SH - Slaughterhouse,,
HU 575,Pásztor-Hús Kft.,Kistályai köz 6.,Eger,3300,"Heves,Northern Hungary,Great Plain and North",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU234,Royal Hús Kft.,III. Ker. Izsáki út 51.,Páhi,6075,"Bács-Kiskun,Southern Great Plain,Great Plain and North",Hungary,RM,SH,Y,porcine,SH - Slaughterhouse,,
HU 894,Rába-Vad Kft,095/10 hrsz.,Pásztori,9311,"Győr-Moson-Sopron,Western Transdanubia,Transdanubia",Hungary,RM,SH,Y,bovine,SH - Slaughterhouse,,
6672432,Sd-adae Kft.,Külterület 0297/27,Kimle,9181,"Győr-Moson-Sopron,Western Transdanubia,Transdanubia",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
HU 1608,Summa-Meat Factory Kft.,Gubacsi út 22.,Budapest,1097,"Budapest,Central Hungary,Central Hungary",Hungary,RM,CP,N,porcine bovine,CP - Cutting Plant,,
HU 490 EK,Szerencsi Mezőgazdasági Zrt.,Malomzug u. 4,Abaújszántó,3881,"Borsod-Abaúj-Zemplén,Northern Hungary,Great Plain and North",Hungary,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
HU-998,Szomor Dezső,Géptelep 42. hrsz.,Apaj,2345,"Pest megye,Central Hungary,Central Hungary",Hungary,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
HU1088,Sükür Hús Kft.,Tanya 307/A,Kardoskút,5945,"Békés,Southern Great Plain,Great Plain and North",Hungary,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
HU817EK,TAMÁSI HÚS KFT,DÓZSA GY. U. 123.,Tamási,7090,"Tolna,Southern Transdanubia,Transdanubia",Hungary,RM,CP,N,,CP - Cutting Plant,,
HU 1038,TENDON Húsipari és Kereskedelmi Kft.,Szurdokpart út 5-7.,Gyöngyös,3200,"Heves,Northern Hungary,Great Plain and North",Hungary,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
SOI/31/01329-3/2017. / HU 870,TOPESA Kft,"József Attila utca 8, Csurgó",Csurgó,8840,"Somogy,Southern Transdanubia,Transdanubia",Hungary,RM,CP SH,Y,porcine,CP - Cutting Plant | SH - Slaughterhouse,,
HU-1204,Tejgazdaság Kft,Veres Péter u. 1.,Balmazújváros,4060,"Hajdú-Bihar,Northern Great Plain,Great Plain and North",Hungary,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
HU 918 EK,Vágóhíd Kft,Vágóhíd út 1,Tiszalúc,3565,"Borsod-Abaúj-Zemplén,Northern Hungary,Great Plain and North",Hungary,RM,SH CP,Y,porcine,SH - Slaughterhouse | CP - Cutting Plant,,
HU1151684,Wakert Bt.,ALKOTMÁNY U.1.,Hencida,4123,"Hajdú-Bihar,Northern Great Plain,Great Plain and North",Hungary,RM,SH,Y,porcine,SH - Slaughterhouse,,
4569828/vágóhíd,Yildis Ciftlik Kft.,Ciráki út 082/4,Csapod,9372,"Győr-Moson-Sopron,Western Transdanubia,Transdanubia",Hungary,RM,SH,Y,ovine,SH - Slaughterhouse,,
HU402 EK,Zollai Baromfi és Húsfeldolgozó Kft,Dózsa György út 84.,Kóka,2243,"Pest megye,Central Hungary,Central Hungary",Hungary,RM,CP,N,bovine porcine,CP - Cutting Plant,,
HU1384EK,Ábrahám Sped Kft,Hrsz 0412/2,Perkáta,2431,"Fejér,Central Transdanubia,Transdanubia",Hungary,RM,SH,Y,,SH - Slaughterhouse,,
